Datetime,_id,Datetime,Date,Settlement_period,Capacity,Wind_Forecast,ForecastDatetime
2024-10-22 08:30:00,1,2024-10-22T08:30:00,2024-10-22,20,21347,10190,2024-10-22T08:00:19
2024-10-22 09:00:00,2,2024-10-22T09:00:00,2024-10-22,21,21347,10206,2024-10-22T08:00:19
2024-10-22 09:30:00,3,2024-10-22T09:30:00,2024-10-22,22,21347,10196,2024-10-22T08:00:19
2024-10-22 10:00:00,4,2024-10-22T10:00:00,2024-10-22,23,21347,10179,2024-10-22T08:00:19
2024-10-22 10:30:00,5,2024-10-22T10:30:00,2024-10-22,24,21347,10155,2024-10-22T08:00:19
2024-10-22 11:00:00,6,2024-10-22T11:00:00,2024-10-22,25,21347,10057,2024-10-22T08:00:19
2024-10-22 11:30:00,7,2024-10-22T11:30:00,2024-10-22,26,21347,9885,2024-10-22T08:00:19
2024-10-22 12:00:00,8,2024-10-22T12:00:00,2024-10-22,27,21347,9677,2024-10-22T08:00:19
2024-10-22 12:30:00,9,2024-10-22T12:30:00,2024-10-22,28,21347,9432,2024-10-22T08:00:19
2024-10-22 13:00:00,10,2024-10-22T13:00:00,2024-10-22,29,21347,9051,2024-10-22T08:00:19
2024-10-22 13:30:00,11,2024-10-22T13:30:00,2024-10-22,30,21347,8536,2024-10-22T08:00:19
2024-10-22 14:00:00,12,2024-10-22T14:00:00,2024-10-22,31,21347,7993,2024-10-22T08:00:19
2024-10-22 14:30:00,13,2024-10-22T14:30:00,2024-10-22,32,21347,7421,2024-10-22T08:00:19
2024-10-22 15:00:00,14,2024-10-22T15:00:00,2024-10-22,33,21347,6948,2024-10-22T08:00:19
2024-10-22 15:30:00,15,2024-10-22T15:30:00,2024-10-22,34,21347,6571,2024-10-22T08:00:19
2024-10-22 16:00:00,16,2024-10-22T16:00:00,2024-10-22,35,21347,6304,2024-10-22T08:00:19
2024-10-22 16:30:00,17,2024-10-22T16:30:00,2024-10-22,36,21347,6146,2024-10-22T08:00:19
2024-10-22 17:00:00,18,2024-10-22T17:00:00,2024-10-22,37,21347,6005,2024-10-22T08:00:19
2024-10-22 17:30:00,19,2024-10-22T17:30:00,2024-10-22,38,21347,5882,2024-10-22T08:00:19
2024-10-22 18:00:00,20,2024-10-22T18:00:00,2024-10-22,39,21347,5869,2024-10-22T08:00:19
2024-10-22 18:30:00,21,2024-10-22T18:30:00,2024-10-22,40,21347,5968,2024-10-22T08:00:19
2024-10-22 19:00:00,22,2024-10-22T19:00:00,2024-10-22,41,21347,6045,2024-10-22T08:00:19
2024-10-22 19:30:00,23,2024-10-22T19:30:00,2024-10-22,42,21347,6102,2024-10-22T08:00:19
2024-10-22 20:00:00,24,2024-10-22T20:00:00,2024-10-22,43,21347,6206,2024-10-22T08:00:19
2024-10-22 20:30:00,25,2024-10-22T20:30:00,2024-10-22,44,21347,6357,2024-10-22T08:00:19
2024-10-22 21:00:00,26,2024-10-22T21:00:00,2024-10-22,45,21347,6536,2024-10-22T08:00:19
2024-10-22 21:30:00,27,2024-10-22T21:30:00,2024-10-22,46,21347,6744,2024-10-22T08:00:19
2024-10-22 22:00:00,28,2024-10-22T22:00:00,2024-10-22,47,21347,6948,2024-10-22T08:00:19
2024-10-22 22:30:00,29,2024-10-22T22:30:00,2024-10-22,48,21347,7148,2024-10-22T08:00:19
2024-10-22 23:00:00,30,2024-10-22T23:00:00,2024-10-23,1,21347,7330,2024-10-22T08:00:19
2024-10-22 23:30:00,31,2024-10-22T23:30:00,2024-10-23,2,21347,7494,2024-10-22T08:00:19
2024-10-23 00:00:00,32,2024-10-23T00:00:00,2024-10-23,3,21347,7639,2024-10-22T08:00:19
2024-10-23 00:30:00,33,2024-10-23T00:30:00,2024-10-23,4,21347,7764,2024-10-22T08:00:19
2024-10-23 01:00:00,34,2024-10-23T01:00:00,2024-10-23,5,21347,7865,2024-10-22T08:00:19
2024-10-23 01:30:00,35,2024-10-23T01:30:00,2024-10-23,6,21347,7940,2024-10-22T08:00:19
2024-10-23 02:00:00,36,2024-10-23T02:00:00,2024-10-23,7,21347,7998,2024-10-22T08:00:19
2024-10-23 02:30:00,37,2024-10-23T02:30:00,2024-10-23,8,21347,8041,2024-10-22T08:00:19
2024-10-23 03:00:00,38,2024-10-23T03:00:00,2024-10-23,9,21347,8058,2024-10-22T08:00:19
2024-10-23 03:30:00,39,2024-10-23T03:30:00,2024-10-23,10,21347,8050,2024-10-22T08:00:19
2024-10-23 04:00:00,40,2024-10-23T04:00:00,2024-10-23,11,21347,8055,2024-10-22T08:00:19
2024-10-23 04:30:00,41,2024-10-23T04:30:00,2024-10-23,12,21347,8073,2024-10-22T08:00:19
2024-10-23 05:00:00,42,2024-10-23T05:00:00,2024-10-23,13,21347,8106,2024-10-22T08:00:19
2024-10-23 05:30:00,43,2024-10-23T05:30:00,2024-10-23,14,21347,8153,2024-10-22T08:00:19
2024-10-23 06:00:00,44,2024-10-23T06:00:00,2024-10-23,15,21347,8211,2024-10-22T08:00:19
2024-10-23 06:30:00,45,2024-10-23T06:30:00,2024-10-23,16,21347,8281,2024-10-22T08:00:19
2024-10-23 07:00:00,46,2024-10-23T07:00:00,2024-10-23,17,21347,8367,2024-10-22T08:00:19
2024-10-23 07:30:00,47,2024-10-23T07:30:00,2024-10-23,18,21347,8468,2024-10-22T08:00:19
2024-10-23 08:00:00,48,2024-10-23T08:00:00,2024-10-23,19,21347,8531,2024-10-22T08:00:19
2024-10-23 08:30:00,49,2024-10-23T08:30:00,2024-10-23,20,21347,8556,2024-10-22T08:00:19
2024-10-23 09:00:00,50,2024-10-23T09:00:00,2024-10-23,21,21347,8579,2024-10-22T08:00:19
2024-10-23 09:30:00,51,2024-10-23T09:30:00,2024-10-23,22,21347,8600,2024-10-22T08:00:19
2024-10-23 10:00:00,52,2024-10-23T10:00:00,2024-10-23,23,21347,8607,2024-10-22T08:00:19
2024-10-23 10:30:00,53,2024-10-23T10:30:00,2024-10-23,24,21347,8600,2024-10-22T08:00:19
2024-10-23 11:00:00,54,2024-10-23T11:00:00,2024-10-23,25,21347,8606,2024-10-22T08:00:19
2024-10-23 11:30:00,55,2024-10-23T11:30:00,2024-10-23,26,21347,8627,2024-10-22T08:00:19
2024-10-23 12:00:00,56,2024-10-23T12:00:00,2024-10-23,27,21347,8640,2024-10-22T08:00:19
2024-10-23 12:30:00,57,2024-10-23T12:30:00,2024-10-23,28,21347,8643,2024-10-22T08:00:19
2024-10-23 13:00:00,58,2024-10-23T13:00:00,2024-10-23,29,21347,8625,2024-10-22T08:00:19
2024-10-23 13:30:00,59,2024-10-23T13:30:00,2024-10-23,30,21347,8584,2024-10-22T08:00:19
2024-10-23 14:00:00,60,2024-10-23T14:00:00,2024-10-23,31,21347,8566,2024-10-22T08:00:19
2024-10-23 14:30:00,61,2024-10-23T14:30:00,2024-10-23,32,21347,8569,2024-10-22T08:00:19
2024-10-23 15:00:00,62,2024-10-23T15:00:00,2024-10-23,33,21347,8693,2024-10-22T08:00:19
2024-10-23 15:30:00,63,2024-10-23T15:30:00,2024-10-23,34,21347,8939,2024-10-22T08:00:19
2024-10-23 16:00:00,64,2024-10-23T16:00:00,2024-10-23,35,21347,9259,2024-10-22T08:00:19
2024-10-23 16:30:00,65,2024-10-23T16:30:00,2024-10-23,36,21347,9653,2024-10-22T08:00:19
2024-10-23 17:00:00,66,2024-10-23T17:00:00,2024-10-23,37,21347,10070,2024-10-22T08:00:19
2024-10-23 17:30:00,67,2024-10-23T17:30:00,2024-10-23,38,21347,10508,2024-10-22T08:00:19
2024-10-23 18:00:00,68,2024-10-23T18:00:00,2024-10-23,39,21347,10966,2024-10-22T08:00:19
2024-10-23 18:30:00,69,2024-10-23T18:30:00,2024-10-23,40,21347,11443,2024-10-22T08:00:19
2024-10-23 19:00:00,70,2024-10-23T19:00:00,2024-10-23,41,21347,11919,2024-10-22T08:00:19
2024-10-23 19:30:00,71,2024-10-23T19:30:00,2024-10-23,42,21347,12394,2024-10-22T08:00:19
2024-10-23 20:00:00,72,2024-10-23T20:00:00,2024-10-23,43,21347,12840,2024-10-22T08:00:19
2024-10-23 20:30:00,73,2024-10-23T20:30:00,2024-10-23,44,21347,13259,2024-10-22T08:00:19
2024-10-23 21:00:00,74,2024-10-23T21:00:00,2024-10-23,45,21347,13541,2024-10-22T08:00:19
2024-10-23 21:30:00,75,2024-10-23T21:30:00,2024-10-23,46,21347,13687,2024-10-22T08:00:19
2024-10-23 22:00:00,76,2024-10-23T22:00:00,2024-10-23,47,21347,13832,2024-10-22T08:00:19
2024-10-23 22:30:00,77,2024-10-23T22:30:00,2024-10-23,48,21347,13978,2024-10-22T08:00:19
2024-10-23 23:00:00,78,2024-10-23T23:00:00,2024-10-24,1,21347,14118,2024-10-22T08:00:19
2024-10-23 23:30:00,79,2024-10-23T23:30:00,2024-10-24,2,21347,14253,2024-10-22T08:00:19
2024-10-24 00:00:00,80,2024-10-24T00:00:00,2024-10-24,3,21347,14358,2024-10-22T08:00:19
2024-10-24 00:30:00,81,2024-10-24T00:30:00,2024-10-24,4,21347,14432,2024-10-22T08:00:19
2024-10-24 01:00:00,82,2024-10-24T01:00:00,2024-10-24,5,21347,14505,2024-10-22T08:00:19
2024-10-24 01:30:00,83,2024-10-24T01:30:00,2024-10-24,6,21347,14577,2024-10-22T08:00:19
2024-10-24 02:00:00,84,2024-10-24T02:00:00,2024-10-24,7,21347,14647,2024-10-22T08:00:19
2024-10-24 02:30:00,85,2024-10-24T02:30:00,2024-10-24,8,21347,14716,2024-10-22T08:00:19
2024-10-24 03:00:00,86,2024-10-24T03:00:00,2024-10-24,9,21347,14778,2024-10-22T08:00:19
2024-10-24 03:30:00,87,2024-10-24T03:30:00,2024-10-24,10,21347,14834,2024-10-22T08:00:19
2024-10-24 04:00:00,88,2024-10-24T04:00:00,2024-10-24,11,21347,14888,2024-10-22T08:00:19
2024-10-24 04:30:00,89,2024-10-24T04:30:00,2024-10-24,12,21347,14940,2024-10-22T08:00:19
2024-10-24 05:00:00,90,2024-10-24T05:00:00,2024-10-24,13,21347,14989,2024-10-22T08:00:19
2024-10-24 05:30:00,91,2024-10-24T05:30:00,2024-10-24,14,21347,15037,2024-10-22T08:00:19
2024-10-24 06:00:00,92,2024-10-24T06:00:00,2024-10-24,15,21347,15111,2024-10-22T08:00:19
2024-10-24 06:30:00,93,2024-10-24T06:30:00,2024-10-24,16,21347,15211,2024-10-22T08:00:19
2024-10-24 07:00:00,94,2024-10-24T07:00:00,2024-10-24,17,21347,15298,2024-10-22T08:00:19
2024-10-24 07:30:00,95,2024-10-24T07:30:00,2024-10-24,18,21347,15372,2024-10-22T08:00:19
2024-10-24 08:00:00,96,2024-10-24T08:00:00,2024-10-24,19,21347,15441,2024-10-22T08:00:19
2024-10-24 08:30:00,97,2024-10-24T08:30:00,2024-10-24,20,21347,15507,2024-10-22T08:00:19
2024-10-24 09:00:00,98,2024-10-24T09:00:00,2024-10-24,21,21347,15547,2024-10-22T08:00:19
2024-10-24 09:30:00,99,2024-10-24T09:30:00,2024-10-24,22,21347,15561,2024-10-22T08:00:19
2024-10-24 10:00:00,100,2024-10-24T10:00:00,2024-10-24,23,21347,15562,2024-10-22T08:00:19
2024-10-24 10:30:00,101,2024-10-24T10:30:00,2024-10-24,24,21347,15552,2024-10-22T08:00:19
2024-10-24 11:00:00,102,2024-10-24T11:00:00,2024-10-24,25,21347,15540,2024-10-22T08:00:19
2024-10-24 11:30:00,103,2024-10-24T11:30:00,2024-10-24,26,21347,15526,2024-10-22T08:00:19
2024-10-24 12:00:00,104,2024-10-24T12:00:00,2024-10-24,27,21347,15527,2024-10-22T08:00:19
2024-10-24 12:30:00,105,2024-10-24T12:30:00,2024-10-24,28,21347,15543,2024-10-22T08:00:19
2024-10-24 13:00:00,106,2024-10-24T13:00:00,2024-10-24,29,21347,15552,2024-10-22T08:00:19
2024-10-24 13:30:00,107,2024-10-24T13:30:00,2024-10-24,30,21347,15555,2024-10-22T08:00:19
2024-10-24 14:00:00,108,2024-10-24T14:00:00,2024-10-24,31,21347,15541,2024-10-22T08:00:19
2024-10-24 14:30:00,109,2024-10-24T14:30:00,2024-10-24,32,21347,15512,2024-10-22T08:00:19
2024-10-24 15:00:00,110,2024-10-24T15:00:00,2024-10-24,33,21347,15514,2024-10-22T08:00:19
2024-10-24 15:30:00,111,2024-10-24T15:30:00,2024-10-24,34,21347,15549,2024-10-22T08:00:19
2024-10-24 16:00:00,112,2024-10-24T16:00:00,2024-10-24,35,21347,15573,2024-10-22T08:00:19
2024-10-24 16:30:00,113,2024-10-24T16:30:00,2024-10-24,36,21347,15587,2024-10-22T08:00:19
2024-10-24 17:00:00,114,2024-10-24T17:00:00,2024-10-24,37,21347,15590,2024-10-22T08:00:19
2024-10-24 17:30:00,115,2024-10-24T17:30:00,2024-10-24,38,21347,15583,2024-10-22T08:00:19
2024-10-24 18:00:00,116,2024-10-24T18:00:00,2024-10-24,39,21347,15483,2024-10-22T08:00:19
2024-10-24 18:30:00,117,2024-10-24T18:30:00,2024-10-24,40,21347,15291,2024-10-22T08:00:19
2024-10-24 19:00:00,118,2024-10-24T19:00:00,2024-10-24,41,21347,15085,2024-10-22T08:00:19
2024-10-24 19:30:00,119,2024-10-24T19:30:00,2024-10-24,42,21347,14866,2024-10-22T08:00:19
2024-10-24 20:00:00,120,2024-10-24T20:00:00,2024-10-24,43,21347,14636,2024-10-22T08:00:19
2024-10-24 20:30:00,121,2024-10-24T20:30:00,2024-10-24,44,21347,14396,2024-10-22T08:00:19
2024-10-24 21:00:00,122,2024-10-24T21:00:00,2024-10-24,45,21347,14149,2024-10-22T08:00:19
2024-10-24 21:30:00,123,2024-10-24T21:30:00,2024-10-24,46,21347,13895,2024-10-22T08:00:19
2024-10-24 22:00:00,124,2024-10-24T22:00:00,2024-10-24,47,21347,13626,2024-10-22T08:00:19
2024-10-24 22:30:00,125,2024-10-24T22:30:00,2024-10-24,48,21347,13341,2024-10-22T08:00:19
2024-10-24 23:00:00,126,2024-10-24T23:00:00,2024-10-25,1,21347,13041,2024-10-22T08:00:19
2024-10-24 23:30:00,127,2024-10-24T23:30:00,2024-10-25,2,21347,12724,2024-10-22T08:00:19
2024-10-25 00:00:00,128,2024-10-25T00:00:00,2024-10-25,3,21347,12484,2024-10-22T08:00:19
2024-10-25 00:30:00,129,2024-10-25T00:30:00,2024-10-25,4,21347,12319,2024-10-22T08:00:19
2024-10-25 01:00:00,130,2024-10-25T01:00:00,2024-10-25,5,21347,12149,2024-10-22T08:00:19
2024-10-25 01:30:00,131,2024-10-25T01:30:00,2024-10-25,6,21347,11973,2024-10-22T08:00:19
2024-10-25 02:00:00,132,2024-10-25T02:00:00,2024-10-25,7,21347,11796,2024-10-22T08:00:19
2024-10-25 02:30:00,133,2024-10-25T02:30:00,2024-10-25,8,21347,11617,2024-10-22T08:00:19
2024-10-25 03:00:00,134,2024-10-25T03:00:00,2024-10-25,9,21347,11522,2024-10-22T08:00:19
2024-10-25 03:30:00,135,2024-10-25T03:30:00,2024-10-25,10,21347,11511,2024-10-22T08:00:19
2024-10-25 04:00:00,136,2024-10-25T04:00:00,2024-10-25,11,21347,11498,2024-10-22T08:00:19
2024-10-25 04:30:00,137,2024-10-25T04:30:00,2024-10-25,12,21347,11484,2024-10-22T08:00:19
2024-10-25 05:00:00,138,2024-10-25T05:00:00,2024-10-25,13,21347,11468,2024-10-22T08:00:19
2024-10-25 05:30:00,139,2024-10-25T05:30:00,2024-10-25,14,21347,11451,2024-10-22T08:00:19
2024-10-25 06:00:00,140,2024-10-25T06:00:00,2024-10-25,15,21347,11449,2024-10-22T08:00:19
2024-10-25 06:30:00,141,2024-10-25T06:30:00,2024-10-25,16,21347,11462,2024-10-22T08:00:19
2024-10-25 07:00:00,142,2024-10-25T07:00:00,2024-10-25,17,21347,11473,2024-10-22T08:00:19
2024-10-25 07:30:00,143,2024-10-25T07:30:00,2024-10-25,18,21347,11483,2024-10-22T08:00:19
2024-10-25 08:00:00,144,2024-10-25T08:00:00,2024-10-25,19,21347,11491,2024-10-22T08:00:19
2024-10-25 08:30:00,145,2024-10-25T08:30:00,2024-10-25,20,21347,11498,2024-10-22T08:00:19
2024-10-25 09:00:00,146,2024-10-25T09:00:00,2024-10-25,21,21347,11539,2024-10-22T08:00:19
2024-10-25 09:30:00,147,2024-10-25T09:30:00,2024-10-25,22,21347,11614,2024-10-22T08:00:19
2024-10-25 10:00:00,148,2024-10-25T10:00:00,2024-10-25,23,21347,11688,2024-10-22T08:00:19
2024-10-25 10:30:00,149,2024-10-25T10:30:00,2024-10-25,24,21347,11762,2024-10-22T08:00:19
2024-10-25 11:00:00,150,2024-10-25T11:00:00,2024-10-25,25,21347,11834,2024-10-22T08:00:19
2024-10-25 11:30:00,151,2024-10-25T11:30:00,2024-10-25,26,21347,11905,2024-10-22T08:00:19
2024-10-25 12:00:00,152,2024-10-25T12:00:00,2024-10-25,27,21347,11939,2024-10-22T08:00:19
2024-10-25 12:30:00,153,2024-10-25T12:30:00,2024-10-25,28,21347,11935,2024-10-22T08:00:19
2024-10-25 13:00:00,154,2024-10-25T13:00:00,2024-10-25,29,21347,11930,2024-10-22T08:00:19
2024-10-25 13:30:00,155,2024-10-25T13:30:00,2024-10-25,30,21347,11924,2024-10-22T08:00:19
2024-10-25 14:00:00,156,2024-10-25T14:00:00,2024-10-25,31,21347,11926,2024-10-22T08:00:19
2024-10-25 14:30:00,157,2024-10-25T14:30:00,2024-10-25,32,21347,11935,2024-10-22T08:00:19
2024-10-25 15:00:00,158,2024-10-25T15:00:00,2024-10-25,33,21347,11956,2024-10-22T08:00:19
2024-10-25 15:30:00,159,2024-10-25T15:30:00,2024-10-25,34,21347,11991,2024-10-22T08:00:19
2024-10-25 16:00:00,160,2024-10-25T16:00:00,2024-10-25,35,21347,12023,2024-10-22T08:00:19
2024-10-25 16:30:00,161,2024-10-25T16:30:00,2024-10-25,36,21347,12054,2024-10-22T08:00:19
2024-10-25 17:00:00,162,2024-10-25T17:00:00,2024-10-25,37,21347,12083,2024-10-22T08:00:19
2024-10-25 17:30:00,163,2024-10-25T17:30:00,2024-10-25,38,21347,12111,2024-10-22T08:00:19
2024-10-25 18:00:00,164,2024-10-25T18:00:00,2024-10-25,39,21347,12110,2024-10-22T08:00:19
2024-10-25 18:30:00,165,2024-10-25T18:30:00,2024-10-25,40,21347,12081,2024-10-22T08:00:19
2024-10-25 19:00:00,166,2024-10-25T19:00:00,2024-10-25,41,21347,12079,2024-10-22T08:00:19
2024-10-25 19:30:00,167,2024-10-25T19:30:00,2024-10-25,42,21347,12104,2024-10-22T08:00:19
2024-10-25 20:00:00,168,2024-10-25T20:00:00,2024-10-25,43,21347,12097,2024-10-22T08:00:19
2024-10-25 20:30:00,169,2024-10-25T20:30:00,2024-10-25,44,21347,12060,2024-10-22T08:00:19
2024-10-25 21:00:00,170,2024-10-25T21:00:00,2024-10-25,45,21347,12057,2024-10-22T08:00:19
2024-10-25 21:30:00,171,2024-10-25T21:30:00,2024-10-25,46,21347,12090,2024-10-22T08:00:19
2024-10-25 22:00:00,172,2024-10-25T22:00:00,2024-10-25,47,21347,12120,2024-10-22T08:00:19
2024-10-25 22:30:00,173,2024-10-25T22:30:00,2024-10-25,48,21347,12148,2024-10-22T08:00:19
2024-10-25 23:00:00,174,2024-10-25T23:00:00,2024-10-26,1,21347,12173,2024-10-22T08:00:19
2024-10-25 23:30:00,175,2024-10-25T23:30:00,2024-10-26,2,21347,12196,2024-10-22T08:00:19
2024-10-26 00:00:00,176,2024-10-26T00:00:00,2024-10-26,3,21347,12296,2024-10-22T08:00:19
2024-10-26 00:30:00,177,2024-10-26T00:30:00,2024-10-26,4,21347,12473,2024-10-22T08:00:19
2024-10-26 01:00:00,178,2024-10-26T01:00:00,2024-10-26,5,21347,12638,2024-10-22T08:00:19
2024-10-26 01:30:00,179,2024-10-26T01:30:00,2024-10-26,6,21347,12793,2024-10-22T08:00:19
2024-10-26 02:00:00,180,2024-10-26T02:00:00,2024-10-26,7,21347,12935,2024-10-22T08:00:19
2024-10-26 02:30:00,181,2024-10-26T02:30:00,2024-10-26,8,21347,13063,2024-10-22T08:00:19
2024-10-26 03:00:00,182,2024-10-26T03:00:00,2024-10-26,9,21347,13237,2024-10-22T08:00:19
2024-10-26 03:30:00,183,2024-10-26T03:30:00,2024-10-26,10,21347,13457,2024-10-22T08:00:19
2024-10-26 04:00:00,184,2024-10-26T04:00:00,2024-10-26,11,21347,13662,2024-10-22T08:00:19
2024-10-26 04:30:00,185,2024-10-26T04:30:00,2024-10-26,12,21347,13854,2024-10-22T08:00:19
2024-10-26 05:00:00,186,2024-10-26T05:00:00,2024-10-26,13,21347,14031,2024-10-22T08:00:19
2024-10-26 05:30:00,187,2024-10-26T05:30:00,2024-10-26,14,21347,14193,2024-10-22T08:00:19
2024-10-26 06:00:00,188,2024-10-26T06:00:00,2024-10-26,15,21347,14387,2024-10-22T08:00:19
2024-10-26 06:30:00,189,2024-10-26T06:30:00,2024-10-26,16,21347,14612,2024-10-22T08:00:19
2024-10-26 07:00:00,190,2024-10-26T07:00:00,2024-10-26,17,21347,14797,2024-10-22T08:00:19
2024-10-26 07:30:00,191,2024-10-26T07:30:00,2024-10-26,18,21347,14941,2024-10-22T08:00:19
2024-10-26 08:00:00,192,2024-10-26T08:00:00,2024-10-26,19,21347,15050,2024-10-22T08:00:19
2024-10-26 08:30:00,193,2024-10-26T08:30:00,2024-10-26,20,21347,15123,2024-10-22T08:00:19
2024-10-26 09:00:00,194,2024-10-26T09:00:00,2024-10-26,21,21347,15280,2024-10-22T08:00:19
2024-10-26 09:30:00,195,2024-10-26T09:30:00,2024-10-26,22,21347,15521,2024-10-22T08:00:19
2024-10-26 10:00:00,196,2024-10-26T10:00:00,2024-10-26,23,21347,15726,2024-10-22T08:00:19
2024-10-26 10:30:00,197,2024-10-26T10:30:00,2024-10-26,24,21347,15895,2024-10-22T08:00:19
2024-10-26 11:00:00,198,2024-10-26T11:00:00,2024-10-26,25,21347,16030,2024-10-22T08:00:19
2024-10-26 11:30:00,199,2024-10-26T11:30:00,2024-10-26,26,21347,16133,2024-10-22T08:00:19
2024-10-26 12:00:00,200,2024-10-26T12:00:00,2024-10-26,27,21347,16226,2024-10-22T08:00:19
2024-10-26 12:30:00,201,2024-10-26T12:30:00,2024-10-26,28,21347,16310,2024-10-22T08:00:19
2024-10-26 13:00:00,202,2024-10-26T13:00:00,2024-10-26,29,21347,16324,2024-10-22T08:00:19
2024-10-26 13:30:00,203,2024-10-26T13:30:00,2024-10-26,30,21347,16266,2024-10-22T08:00:19
2024-10-26 14:00:00,204,2024-10-26T14:00:00,2024-10-26,31,21347,16148,2024-10-22T08:00:19
2024-10-26 14:30:00,205,2024-10-26T14:30:00,2024-10-26,32,21347,15969,2024-10-22T08:00:19
2024-10-26 15:00:00,206,2024-10-26T15:00:00,2024-10-26,33,21347,15883,2024-10-22T08:00:19
2024-10-26 15:30:00,207,2024-10-26T15:30:00,2024-10-26,34,21347,15889,2024-10-22T08:00:19
2024-10-26 16:00:00,208,2024-10-26T16:00:00,2024-10-26,35,21347,15835,2024-10-22T08:00:19
2024-10-26 16:30:00,209,2024-10-26T16:30:00,2024-10-26,36,21347,15719,2024-10-22T08:00:19
2024-10-26 17:00:00,210,2024-10-26T17:00:00,2024-10-26,37,21347,15567,2024-10-22T08:00:19
2024-10-26 17:30:00,211,2024-10-26T17:30:00,2024-10-26,38,21347,15378,2024-10-22T08:00:19
2024-10-26 18:00:00,212,2024-10-26T18:00:00,2024-10-26,39,21347,15265,2024-10-22T08:00:19
2024-10-26 18:30:00,213,2024-10-26T18:30:00,2024-10-26,40,21347,15229,2024-10-22T08:00:19
2024-10-26 19:00:00,214,2024-10-26T19:00:00,2024-10-26,41,21347,15190,2024-10-22T08:00:19
2024-10-26 19:30:00,215,2024-10-26T19:30:00,2024-10-26,42,21347,15147,2024-10-22T08:00:19
2024-10-26 20:00:00,216,2024-10-26T20:00:00,2024-10-26,43,21347,15101,2024-10-22T08:00:19
2024-10-26 20:30:00,217,2024-10-26T20:30:00,2024-10-26,44,21347,15051,2024-10-22T08:00:19
